प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
जिससे	0	5	ज	जि	जिस	े	से	ससे	0	ज	ि	स	स	े	जि	िस	सस	से	े_	जिस	िसस	ससे	से_	े__	जिसस	िससे	ससे_	से__	े___	जिससे	िससे_	ससे__	से___	े____	गई	है	आप	लो	0
आप	1	2	आ	आप	NULL	प	आप	NULL	0	आ	प	_	_	_	आप	प_	__	__	__	आप_	प__	___	___	___	आप__	प___	____	____	____	आप___	प____	_____	_____	_____	है	जिससे	लो	लाइट	0
लो	0	2	ल	लो	NULL	ो	लो	NULL	0	ल	ो	_	_	_	लो	ो_	__	__	__	लो_	ो__	___	___	___	लो__	ो___	____	____	____	लो___	ो____	_____	_____	_____	जिससे	आप	लाइट	कंडीशन	0
लाइट	0	4	ल	ला	लाइ	ट	इट	ाइट	0	ल	ा	इ	ट	_	ला	ाइ	इट	ट_	__	लाइ	ाइट	इट_	ट__	___	लाइट	ाइट_	इट__	ट___	____	लाइट_	ाइट__	इट___	ट____	_____	आप	लो	कंडीशन	में	0
कंडीशन	0	6	क	कं	कंड	न	शन	ीशन	0	क	ं	ड	ी	श	कं	ंड	डी	ीश	शन	कंड	ंडी	डीश	ीशन	शन_	कंडी	ंडीश	डीशन	ीशन_	शन__	कंडीश	ंडीशन	डीशन_	ीशन__	शन___	लो	लाइट	में	भी	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	लाइट	कंडीशन	भी	अच्‍छी	0
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	कंडीशन	में	अच्‍छी	फोटोग्राफी	0
अच्‍छी	0	6	अ	अच	अच्	ी	छी	‍छी	0	अ	च	्	‍	छ	अच	च्	्‍	‍छ	छी	अच्	च्‍	्‍छ	‍छी	छी_	अच्‍	च्‍छ	्‍छी	‍छी_	छी__	अच्‍छ	च्‍छी	्‍छी_	‍छी__	छी___	में	भी	फोटोग्राफी	कर	0
फोटोग्राफी	0	10	फ	फो	फोट	ी	फी	ाफी	1	फ	ो	ट	ो	ग	फो	ोट	टो	ोग	ग्	फोट	ोटो	टोग	ोग्	ग्र	फोटो	ोटोग	टोग्	ोग्र	ग्रा	फोटोग	ोटोग्	टोग्र	ोग्रा	ग्राफ	भी	अच्‍छी	कर	सकते	0
कर	1	2	क	कर	NULL	र	कर	NULL	0	क	र	_	_	_	कर	र_	__	__	__	कर_	र__	___	___	___	कर__	र___	____	____	____	कर___	र____	_____	_____	_____	अच्‍छी	फोटोग्राफी	सकते	हैं	0
सकते	1	4	स	सक	सकत	े	ते	कते	0	स	क	त	े	_	सक	कत	ते	े_	__	सकत	कते	ते_	े__	___	सकते	कते_	ते__	े___	____	सकते_	कते__	ते___	े____	_____	फोटोग्राफी	कर	हैं	कैमरे	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	कर	सकते	कैमरे	में	0
कैमरे	0	5	क	कै	कैम	े	रे	मरे	1	क	ै	म	र	े	कै	ैम	मर	रे	े_	कैम	ैमर	मरे	रे_	े__	कैमर	ैमरे	मरे_	रे__	े___	कैमरे	ैमरे_	मरे__	रे___	े____	सकते	हैं	में	100	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	हैं	कैमरे	100	से	0
100	0	3	1	10	100	0	00	100	0	1	0	0	_	_	10	00	0_	__	__	100	00_	0__	___	___	100_	00__	0___	____	____	100__	00___	0____	_____	_____	कैमरे	में	से	12	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	में	100	12	800	0
12	0	2	1	12	NULL	2	12	NULL	0	1	2	_	_	_	12	2_	__	__	__	12_	2__	___	___	___	12__	2___	____	____	____	12___	2____	_____	_____	_____	100	से	800	तक	0
800	0	3	8	80	800	0	00	800	0	8	0	0	_	_	80	00	0_	__	__	800	00_	0__	___	___	800_	00__	0___	____	____	800__	00___	0____	_____	_____	से	12	तक	आईएसओ	0
तक	1	2	त	तक	NULL	क	तक	NULL	0	त	क	_	_	_	तक	क_	__	__	__	तक_	क__	___	___	___	तक__	क___	____	____	____	तक___	क____	_____	_____	_____	12	800	आईएसओ	रेंज	0
आईएसओ	0	5	आ	आई	आईए	ओ	सओ	एसओ	0	आ	ई	ए	स	ओ	आई	ईए	एस	सओ	ओ_	आईए	ईएस	एसओ	सओ_	ओ__	आईएस	ईएसओ	एसओ_	सओ__	ओ___	आईएसओ	ईएसओ_	एसओ__	सओ___	ओ____	800	तक	रेंज	सेट	B_ASP
रेंज	0	4	र	रे	रें	ज	ंज	ेंज	0	र	े	ं	ज	_	रे	ें	ंज	ज_	__	रें	ेंज	ंज_	ज__	___	रेंज	ेंज_	ंज__	ज___	____	रेंज_	ेंज__	ंज___	ज____	_____	तक	आईएसओ	सेट	की	I_ASP
सेट	0	3	स	से	सेट	ट	ेट	सेट	0	स	े	ट	_	_	से	ेट	ट_	__	__	सेट	ेट_	ट__	___	___	सेट_	ेट__	ट___	____	____	सेट__	ेट___	ट____	_____	_____	आईएसओ	रेंज	की	जा	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	रेंज	सेट	जा	सकती	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	सेट	की	सकती	है	0
सकती	0	4	स	सक	सकत	ी	ती	कती	0	स	क	त	ी	_	सक	कत	ती	ी_	__	सकत	कती	ती_	ी__	___	सकती	कती_	ती__	ी___	____	सकती_	कती__	ती___	ी____	_____	की	जा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	सकती	NULL	NULL	0
EOL
कैनन	0	4	क	कै	कैन	न	नन	ैनन	0	क	ै	न	न	_	कै	ैन	नन	न_	__	कैन	ैनन	नन_	न__	___	कैनन	ैनन_	नन__	न___	____	कैनन_	ैनन__	नन___	न____	_____	NULL	NULL	का	पॉवर	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	NULL	कैनन	पॉवर	शॉट	0
पॉवर	0	4	प	पॉ	पॉव	र	वर	ॉवर	0	प	ॉ	व	र	_	पॉ	ॉव	वर	र_	__	पॉव	ॉवर	वर_	र__	___	पॉवर	ॉवर_	वर__	र___	____	पॉवर_	ॉवर__	वर___	र____	_____	कैनन	का	शॉट	ELPH	0
शॉट	0	3	श	शॉ	शॉट	ट	ॉट	शॉट	0	श	ॉ	ट	_	_	शॉ	ॉट	ट_	__	__	शॉट	ॉट_	ट__	___	___	शॉट_	ॉट__	ट___	____	____	शॉट__	ॉट___	ट____	_____	_____	का	पॉवर	ELPH	130IS	0
ELPH	0	4	E	EL	ELP	H	PH	LPH	0	E	L	P	H	_	EL	LP	PH	H_	__	ELP	LPH	PH_	H__	___	ELPH	LPH_	PH__	H___	____	ELPH_	LPH__	PH___	H____	_____	पॉवर	शॉट	130IS	एक	0
130IS	0	5	1	13	130	S	IS	0IS	0	1	3	0	I	S	13	30	0I	IS	S_	130	30I	0IS	IS_	S__	130I	30IS	0IS_	IS__	S___	130IS	30IS_	0IS__	IS___	S____	शॉट	ELPH	एक	ट्रेडीशनल	0
एक	1	2	ए	एक	NULL	क	एक	NULL	0	ए	क	_	_	_	एक	क_	__	__	__	एक_	क__	___	___	___	एक__	क___	____	____	____	एक___	क____	_____	_____	_____	ELPH	130IS	ट्रेडीशनल	कैमरा	0
ट्रेडीशनल	0	9	ट	ट्	ट्र	ल	नल	शनल	0	ट	्	र	े	ड	ट्	्र	रे	ेड	डी	ट्र	्रे	रेड	ेडी	डीश	ट्रे	्रेड	रेडी	ेडीश	डीशन	ट्रेड	्रेडी	रेडीश	ेडीशन	डीशनल	130IS	एक	कैमरा	है	0
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	एक	ट्रेडीशनल	है	जिसमें	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	ट्रेडीशनल	कैमरा	जिसमें	8	0
जिसमें	0	6	ज	जि	जिस	ं	ें	में	0	ज	ि	स	म	े	जि	िस	सम	मे	ें	जिस	िसम	समे	में	ें_	जिसम	िसमे	समें	में_	ें__	जिसमे	िसमें	समें_	में__	ें___	कैमरा	है	8	एक्‍स	0
8	0	1	8	NULL	NULL	8	NULL	NULL	0	8	_	_	_	_	8_	__	__	__	__	8__	___	___	___	___	8___	____	____	____	____	8____	_____	_____	_____	_____	है	जिसमें	एक्‍स	जूम	0
एक्‍स	0	5	ए	एक	एक्	स	‍स	्‍स	0	ए	क	्	‍	स	एक	क्	्‍	‍स	स_	एक्	क्‍	्‍स	‍स_	स__	एक्‍	क्‍स	्‍स_	‍स__	स___	एक्‍स	क्‍स_	्‍स__	‍स___	स____	जिसमें	8	जूम	लेंस	0
जूम	0	3	ज	जू	जूम	म	ूम	जूम	1	ज	ू	म	_	_	जू	ूम	म_	__	__	जूम	ूम_	म__	___	___	जूम_	ूम__	म___	____	____	जूम__	ूम___	म____	_____	_____	8	एक्‍स	लेंस	के	B_ASP
लेंस	0	4	ल	ले	लें	स	ंस	ेंस	0	ल	े	ं	स	_	ले	ें	ंस	स_	__	लें	ेंस	ंस_	स__	___	लेंस	ेंस_	ंस__	स___	____	लेंस_	ेंस__	ंस___	स____	_____	एक्‍स	जूम	के	साथ	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	जूम	लेंस	साथ	3	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	लेंस	के	3	इंच	0
3	0	1	3	NULL	NULL	3	NULL	NULL	0	3	_	_	_	_	3_	__	__	__	__	3__	___	___	___	___	3___	____	____	____	____	3____	_____	_____	_____	_____	के	साथ	इंच	की	0
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	साथ	3	की	एलसीडी	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	3	इंच	एलसीडी	स्‍क्रीन	0
एलसीडी	0	6	ए	एल	एलस	ी	डी	ीडी	0	ए	ल	स	ी	ड	एल	लस	सी	ीड	डी	एलस	लसी	सीड	ीडी	डी_	एलसी	लसीड	सीडी	ीडी_	डी__	एलसीड	लसीडी	सीडी_	ीडी__	डी___	इंच	की	स्‍क्रीन	दी	0
स्‍क्रीन	0	8	स	स्	स्‍	न	ीन	रीन	1	स	्	‍	क	्	स्	्‍	‍क	क्	्र	स्‍	्‍क	‍क्	क्र	्री	स्‍क	्‍क्	‍क्र	क्री	्रीन	स्‍क्	्‍क्र	‍क्री	क्रीन	्रीन_	की	एलसीडी	दी	गई	B_ASP
दी	0	2	द	दी	NULL	ी	दी	NULL	0	द	ी	_	_	_	दी	ी_	__	__	__	दी_	ी__	___	___	___	दी__	ी___	____	____	____	दी___	ी____	_____	_____	_____	एलसीडी	स्‍क्रीन	गई	है	0
गई	0	2	ग	गई	NULL	ई	गई	NULL	0	ग	ई	_	_	_	गई	ई_	__	__	__	गई_	ई__	___	___	___	गई__	ई___	____	____	____	गई___	ई____	_____	_____	_____	स्‍क्रीन	दी	है	कैमरे	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दी	गई	कैमरे	में	0
कैमरे	0	5	क	कै	कैम	े	रे	मरे	1	क	ै	म	र	े	कै	ैम	मर	रे	े_	कैम	ैमर	मरे	रे_	े__	कैमर	ैमरे	मरे_	रे__	े___	कैमरे	ैमरे_	मरे__	रे___	े____	गई	है	में	16	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	है	कैमरे	16	मेगापिक्‍सल	0
16	0	2	1	16	NULL	6	16	NULL	0	1	6	_	_	_	16	6_	__	__	__	16_	6__	___	___	___	16__	6___	____	____	____	16___	6____	_____	_____	_____	कैमरे	में	मेगापिक्‍सल	का	0
मेगापिक्‍सल	0	11	म	मे	मेग	ल	सल	‍सल	0	म	े	ग	ा	प	मे	ेग	गा	ाप	पि	मेग	ेगा	गाप	ापि	पिक	मेगा	ेगाप	गापि	ापिक	पिक्	मेगाप	ेगापि	गापिक	ापिक्	पिक्‍	में	16	का	सीएमओएस	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	16	मेगापिक्‍सल	सीएमओएस	सेंसर	0
सीएमओएस	0	7	स	सी	सीए	स	एस	ओएस	0	स	ी	ए	म	ओ	सी	ीए	एम	मओ	ओए	सीए	ीएम	एमओ	मओए	ओएस	सीएम	ीएमओ	एमओए	मओएस	ओएस_	सीएमओ	ीएमओए	एमओएस	मओएस_	ओएस__	मेगापिक्‍सल	का	सेंसर	लगा	B_ASP
सेंसर	0	5	स	से	सें	र	सर	ंसर	1	स	े	ं	स	र	से	ें	ंस	सर	र_	सें	ेंस	ंसर	सर_	र__	सेंस	ेंसर	ंसर_	सर__	र___	सेंसर	ेंसर_	ंसर__	सर___	र____	का	सीएमओएस	लगा	हुआ	I_ASP
लगा	0	3	ल	लग	लगा	ा	गा	लगा	0	ल	ग	ा	_	_	लग	गा	ा_	__	__	लगा	गा_	ा__	___	___	लगा_	गा__	ा___	____	____	लगा__	गा___	ा____	_____	_____	सीएमओएस	सेंसर	हुआ	है	0
हुआ	1	3	ह	हु	हुआ	आ	ुआ	हुआ	0	ह	ु	आ	_	_	हु	ुआ	आ_	__	__	हुआ	ुआ_	आ__	___	___	हुआ_	ुआ__	आ___	____	____	हुआ__	ुआ___	आ____	_____	_____	सेंसर	लगा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	लगा	हुआ	NULL	NULL	0
EOL
कम	0	2	क	कम	NULL	म	कम	NULL	0	क	म	_	_	_	कम	म_	__	__	__	कम_	म__	___	___	___	कम__	म___	____	____	____	कम___	म____	_____	_____	_____	NULL	NULL	कीमत	में	0
कीमत	0	4	क	की	कीम	त	मत	ीमत	1	क	ी	म	त	_	की	ीम	मत	त_	__	कीम	ीमत	मत_	त__	___	कीमत	ीमत_	मत__	त___	____	कीमत_	ीमत__	मत___	त____	_____	NULL	कम	में	बाजार	B_ASP
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	कम	कीमत	बाजार	में	0
बाजार	0	5	ब	बा	बाज	र	ार	जार	0	ब	ा	ज	ा	र	बा	ाज	जा	ार	र_	बाज	ाजा	जार	ार_	र__	बाजा	ाजार	जार_	ार__	र___	बाजार	ाजार_	जार__	ार___	र____	कीमत	में	में	उतारा	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	में	बाजार	उतारा	केनन	0
उतारा	0	5	उ	उत	उता	ा	रा	ारा	0	उ	त	ा	र	ा	उत	ता	ार	रा	ा_	उता	तार	ारा	रा_	ा__	उतार	तारा	ारा_	रा__	ा___	उतारा	तारा_	ारा__	रा___	ा____	बाजार	में	केनन	1200डी	0
केनन	0	4	क	के	केन	न	नन	ेनन	0	क	े	न	न	_	के	ेन	नन	न_	__	केन	ेनन	नन_	न__	___	केनन	ेनन_	नन__	न___	____	केनन_	ेनन__	नन___	न____	_____	में	उतारा	1200डी	कैमरा	0
1200डी	0	6	1	12	120	ी	डी	0डी	0	1	2	0	0	ड	12	20	00	0ड	डी	120	200	00ड	0डी	डी_	1200	200ड	00डी	0डी_	डी__	1200ड	200डी	00डी_	0डी__	डी___	उतारा	केनन	कैमरा	जूम	0
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	केनन	1200डी	जूम	लैंस	0
जूम	0	3	ज	जू	जूम	म	ूम	जूम	1	ज	ू	म	_	_	जू	ूम	म_	__	__	जूम	ूम_	म__	___	___	जूम_	ूम__	म___	____	____	जूम__	ूम___	म____	_____	_____	1200डी	कैमरा	लैंस	के	B_ASP
लैंस	0	4	ल	लै	लैं	स	ंस	ैंस	0	ल	ै	ं	स	_	लै	ैं	ंस	स_	__	लैं	ैंस	ंस_	स__	___	लैंस	ैंस_	ंस__	स___	____	लैंस_	ैंस__	ंस___	स____	_____	कैमरा	जूम	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	जूम	लैंस	साथ	मिलेगी	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	लैंस	के	मिलेगी	3	0
मिलेगी	0	6	म	मि	मिल	ी	गी	ेगी	0	म	ि	ल	े	ग	मि	िल	ले	ेग	गी	मिल	िले	लेग	ेगी	गी_	मिले	िलेग	लेगी	ेगी_	गी__	मिलेग	िलेगी	लेगी_	ेगी__	गी___	के	साथ	3	इंच	0
3	0	1	3	NULL	NULL	3	NULL	NULL	0	3	_	_	_	_	3_	__	__	__	__	3__	___	___	___	___	3___	____	____	____	____	3____	_____	_____	_____	_____	साथ	मिलेगी	इंच	की	0
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	मिलेगी	3	की	एलसीडी	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	3	इंच	एलसीडी	NULL	0
एलसीडी	0	6	ए	एल	एलस	ी	डी	ीडी	0	ए	ल	स	ी	ड	एल	लस	सी	ीड	डी	एलस	लसी	सीड	ीडी	डी_	एलसी	लसीड	सीडी	ीडी_	डी__	एलसीड	लसीडी	सीडी_	ीडी__	डी___	इंच	की	NULL	NULL	B_ASP
EOL
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	NULL	NULL	जूम	लैंस	0
जूम	0	3	ज	जू	जूम	म	ूम	जूम	1	ज	ू	म	_	_	जू	ूम	म_	__	__	जूम	ूम_	म__	___	___	जूम_	ूम__	म___	____	____	जूम__	ूम___	म____	_____	_____	NULL	इसमें	लैंस	के	B_ASP
लैंस	0	4	ल	लै	लैं	स	ंस	ैंस	0	ल	ै	ं	स	_	लै	ैं	ंस	स_	__	लैं	ैंस	ंस_	स__	___	लैंस	ैंस_	ंस__	स___	____	लैंस_	ैंस__	ंस___	स____	_____	इसमें	जूम	के	साथ-साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	जूम	लैंस	साथ-साथ	3	0
साथ-साथ	0	7	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	-	स	सा	ाथ	थ-	-स	सा	साथ	ाथ-	थ-स	-सा	साथ	साथ-	ाथ-स	थ-सा	-साथ	साथ_	साथ-स	ाथ-सा	थ-साथ	-साथ_	साथ__	लैंस	के	3	इंच	0
3	0	1	3	NULL	NULL	3	NULL	NULL	0	3	_	_	_	_	3_	__	__	__	__	3__	___	___	___	___	3___	____	____	____	____	3____	_____	_____	_____	_____	के	साथ-साथ	इंच	की	0
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	साथ-साथ	3	की	एलसीडी	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	3	इंच	एलसीडी	स्क्रीन	0
एलसीडी	0	6	ए	एल	एलस	ी	डी	ीडी	0	ए	ल	स	ी	ड	एल	लस	सी	ीड	डी	एलस	लसी	सीड	ीडी	डी_	एलसी	लसीड	सीडी	ीडी_	डी__	एलसीड	लसीडी	सीडी_	ीडी__	डी___	इंच	की	स्क्रीन	दी	B_ASP
स्क्रीन	0	7	स	स्	स्क	न	ीन	रीन	1	स	्	क	्	र	स्	्क	क्	्र	री	स्क	्क्	क्र	्री	रीन	स्क्	्क्र	क्री	्रीन	रीन_	स्क्र	्क्री	क्रीन	्रीन_	रीन__	की	एलसीडी	दी	गई	I_ASP
दी	0	2	द	दी	NULL	ी	दी	NULL	0	द	ी	_	_	_	दी	ी_	__	__	__	दी_	ी__	___	___	___	दी__	ी___	____	____	____	दी___	ी____	_____	_____	_____	एलसीडी	स्क्रीन	गई	है	0
गई	0	2	ग	गई	NULL	ई	गई	NULL	0	ग	ई	_	_	_	गई	ई_	__	__	__	गई_	ई__	___	___	___	गई__	ई___	____	____	____	गई___	ई____	_____	_____	_____	स्क्रीन	दी	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दी	गई	NULL	NULL	0
EOL
निकोन	0	5	न	नि	निक	न	ोन	कोन	0	न	ि	क	ो	न	नि	िक	को	ोन	न_	निक	िको	कोन	ोन_	न__	निको	िकोन	कोन_	ोन__	न___	निकोन	िकोन_	कोन__	ोन___	न____	NULL	NULL	डी810	कैमरे	0
डी810	0	5	ड	डी	डी8	0	10	810	0	ड	ी	8	1	0	डी	ी8	81	10	0_	डी8	ी81	810	10_	0__	डी81	ी810	810_	10__	0___	डी810	ी810_	810__	10___	0____	NULL	निकोन	कैमरे	की	0
कैमरे	0	5	क	कै	कैम	े	रे	मरे	1	क	ै	म	र	े	कै	ैम	मर	रे	े_	कैम	ैमर	मरे	रे_	े__	कैमर	ैमरे	मरे_	रे__	े___	कैमरे	ैमरे_	मरे__	रे___	े____	निकोन	डी810	की	सबसे	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	डी810	कैमरे	सबसे	खास	0
सबसे	1	4	स	सब	सबस	े	से	बसे	0	स	ब	स	े	_	सब	बस	से	े_	__	सबस	बसे	से_	े__	___	सबसे	बसे_	से__	े___	____	सबसे_	बसे__	से___	े____	_____	कैमरे	की	खास	बात	0
खास	0	3	ख	खा	खास	स	ास	खास	0	ख	ा	स	_	_	खा	ास	स_	__	__	खास	ास_	स__	___	___	खास_	ास__	स___	____	____	खास__	ास___	स____	_____	_____	की	सबसे	बात	ये	0
बात	0	3	ब	बा	बात	त	ात	बात	0	ब	ा	त	_	_	बा	ात	त_	__	__	बात	ात_	त__	___	___	बात_	ात__	त___	____	____	बात__	ात___	त____	_____	_____	सबसे	खास	ये	है	0
ये	1	2	य	ये	NULL	े	ये	NULL	0	य	े	_	_	_	ये	े_	__	__	__	ये_	े__	___	___	___	ये__	े___	____	____	____	ये___	े____	_____	_____	_____	खास	बात	है	कि	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	बात	ये	कि	इसमें	0
कि	1	2	क	कि	NULL	ि	कि	NULL	0	क	ि	_	_	_	कि	ि_	__	__	__	कि_	ि__	___	___	___	कि__	ि___	____	____	____	कि___	ि____	_____	_____	_____	ये	है	इसमें	फुल	0
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	है	कि	फुल	फ्रेम	0
फुल	0	3	फ	फु	फुल	ल	ुल	फुल	0	फ	ु	ल	_	_	फु	ुल	ल_	__	__	फुल	ुल_	ल__	___	___	फुल_	ुल__	ल___	____	____	फुल__	ुल___	ल____	_____	_____	कि	इसमें	फ्रेम	36.3	0
फ्रेम	0	5	फ	फ्	फ्र	म	ेम	रेम	0	फ	्	र	े	म	फ्	्र	रे	ेम	म_	फ्र	्रे	रेम	ेम_	म__	फ्रे	्रेम	रेम_	ेम__	म___	फ्रेम	्रेम_	रेम__	ेम___	म____	इसमें	फुल	36.3	मेगापिक्सल	0
36.3	0	4	3	36	36.	3	.3	6.3	0	3	6	.	3	_	36	6.	.3	3_	__	36.	6.3	.3_	3__	___	36.3	6.3_	.3__	3___	____	36.3_	6.3__	.3___	3____	_____	फुल	फ्रेम	मेगापिक्सल	सीमॉस	0
मेगापिक्सल	0	10	म	मे	मेग	ल	सल	्सल	0	म	े	ग	ा	प	मे	ेग	गा	ाप	पि	मेग	ेगा	गाप	ापि	पिक	मेगा	ेगाप	गापि	ापिक	पिक्	मेगाप	ेगापि	गापिक	ापिक्	पिक्स	फ्रेम	36.3	सीमॉस	सेंसर	0
