आपको	0	4	आ	आप	आपक	ो	को	पको	0	आ	प	क	ो	_	आप	पक	को	ो_	__	आपक	पको	को_	ो__	___	आपको	पको_	को__	ो___	____	आपको_	पको__	को___	ो____	_____	NULL	NULL	बस	एक	0
माइक्रो-यूएसबी	0	14	म	मा	माइ	ी	बी	सबी	0	म	ा	इ	क	्	मा	ाइ	इक	क्	्र	माइ	ाइक	इक्	क्र	्रो	माइक	ाइक्	इक्र	क्रो	्रो-	माइक्	ाइक्र	इक्रो	क्रो-	्रो-य	एनएफसी	व	है	NULL	B_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	व	माइक्रो-यूएसबी	NULL	NULL	0
EOL
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	NULL	NULL	1.5	गीगाहर्त्ज	0
1.5	0	3	1	1.	1.5	5	.5	1.5	0	1	.	5	_	_	1.	.5	5_	__	__	1.5	.5_	5__	___	___	1.5_	.5__	5___	____	____	1.5__	.5___	5____	_____	_____	NULL	इसमें	गीगाहर्त्ज	ड्यूल-कोर	0
गीगाहर्त्ज	0	10	ग	गी	गीग	ज	्ज	त्ज	0	ग	ी	ग	ा	ह	गी	ीग	गा	ाह	हर	गीग	ीगा	गाह	ाहर	हर्	गीगा	ीगाह	गाहर	ाहर्	हर्त	गीगाह	ीगाहर	गाहर्	ाहर्त	हर्त्	इसमें	1.5	ड्यूल-कोर	क्वॉलकॉम	0
ड्यूल-कोर	0	9	ड	ड्	ड्य	र	ोर	कोर	0	ड	्	य	ू	ल	ड्	्य	यू	ूल	ल-	ड्य	्यू	यूल	ूल-	ल-क	ड्यू	्यूल	यूल-	ूल-क	ल-को	ड्यूल	्यूल-	यूल-क	ूल-को	ल-कोर	1.5	गीगाहर्त्ज	क्वॉलकॉम	स्नैपड्रैगन	B_ASP
क्वॉलकॉम	0	8	क	क्	क्व	म	ॉम	कॉम	0	क	्	व	ॉ	ल	क्	्व	वॉ	ॉल	लक	क्व	्वॉ	वॉल	ॉलक	लकॉ	क्वॉ	्वॉल	वॉलक	ॉलकॉ	लकॉम	क्वॉल	्वॉलक	वॉलकॉ	ॉलकॉम	लकॉम_	गीगाहर्त्ज	ड्यूल-कोर	स्नैपड्रैगन	S4	I_ASP
स्नैपड्रैगन	0	11	स	स्	स्न	न	गन	ैगन	0	स	्	न	ै	प	स्	्न	नै	ैप	पड	स्न	्नै	नैप	ैपड	पड्	स्नै	्नैप	नैपड	ैपड्	पड्र	स्नैप	्नैपड	नैपड्	ैपड्र	पड्रै	ड्यूल-कोर	क्वॉलकॉम	S4	प्रोसेसर	I_ASP
S4	0	2	S	S4	NULL	4	S4	NULL	0	S	4	_	_	_	S4	4_	__	__	__	S4_	4__	___	___	___	S4__	4___	____	____	____	S4___	4____	_____	_____	_____	क्वॉलकॉम	स्नैपड्रैगन	प्रोसेसर	384	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	स्नैपड्रैगन	S4	384	मेगाहर्त्ज	I_ASP
384	0	3	3	38	384	4	84	384	0	3	8	4	_	_	38	84	4_	__	__	384	84_	4__	___	___	384_	84__	4___	____	____	384__	84___	4____	_____	_____	S4	प्रोसेसर	मेगाहर्त्ज	वाला	0
मेगाहर्त्ज	0	10	म	मे	मेग	ज	्ज	त्ज	0	म	े	ग	ा	ह	मे	ेग	गा	ाह	हर	मेग	ेगा	गाह	ाहर	हर्	मेगा	ेगाह	गाहर	ाहर्	हर्त	मेगाह	ेगाहर	गाहर्	ाहर्त	हर्त्	प्रोसेसर	384	वाला	एड्रिनो	0
वाला	0	4	व	वा	वाल	ा	ला	ाला	0	व	ा	ल	ा	_	वा	ाल	ला	ा_	__	वाल	ाला	ला_	ा__	___	वाला	ाला_	ला__	ा___	____	वाला_	ाला__	ला___	ा____	_____	384	मेगाहर्त्ज	एड्रिनो	225	0
एड्रिनो	0	7	ए	एड	एड्	ो	नो	िनो	0	ए	ड	्	र	ि	एड	ड्	्र	रि	िन	एड्	ड्र	्रि	रिन	िनो	एड्र	ड्रि	्रिन	रिनो	िनो_	एड्रि	ड्रिन	्रिनो	रिनो_	िनो__	मेगाहर्त्ज	वाला	225	जीपीयू	0
225	0	3	2	22	225	5	25	225	0	2	2	5	_	_	22	25	5_	__	__	225	25_	5__	___	___	225_	25__	5___	____	____	225__	25___	5____	_____	_____	वाला	एड्रिनो	जीपीयू	और	0
जीपीयू	0	6	ज	जी	जीप	ू	यू	ीयू	1	ज	ी	प	ी	य	जी	ीप	पी	ीय	यू	जीप	ीपी	पीय	ीयू	यू_	जीपी	ीपीय	पीयू	ीयू_	यू__	जीपीय	ीपीयू	पीयू_	ीयू__	यू___	एड्रिनो	225	और	1	B_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	225	जीपीयू	1	जीबी	0
1	0	1	1	NULL	NULL	1	NULL	NULL	0	1	_	_	_	_	1_	__	__	__	__	1__	___	___	___	___	1___	____	____	____	____	1____	_____	_____	_____	_____	जीपीयू	और	जीबी	रैम	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	और	1	रैम	है	0
रैम	0	3	र	रै	रैम	म	ैम	रैम	1	र	ै	म	_	_	रै	ैम	म_	__	__	रैम	ैम_	म__	___	___	रैम_	ैम__	म___	____	____	रैम__	ैम___	म____	_____	_____	1	जीबी	है	NULL	B_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जीबी	रैम	NULL	NULL	0
EOL
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	NULL	NULL	के	रियर	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	NULL	फोन	रियर	पैनल	0
रियर	0	4	र	रि	रिय	र	यर	ियर	1	र	ि	य	र	_	रि	िय	यर	र_	__	रिय	ियर	यर_	र__	___	रियर	ियर_	यर__	र___	____	रियर_	ियर__	यर___	र____	_____	फोन	के	पैनल	पर	B_ASP
पैनल	0	4	प	पै	पैन	ल	नल	ैनल	1	प	ै	न	ल	_	पै	ैन	नल	ल_	__	पैन	ैनल	नल_	ल__	___	पैनल	ैनल_	नल__	ल___	____	पैनल_	ैनल__	नल___	ल____	_____	के	रियर	पर	ही	I_ASP
पर	1	2	प	पर	NULL	र	पर	NULL	0	प	र	_	_	_	पर	र_	__	__	__	पर_	र__	___	___	___	पर__	र___	____	____	____	पर___	र____	_____	_____	_____	रियर	पैनल	ही	5	0
ही	1	2	ह	ही	NULL	ी	ही	NULL	0	ह	ी	_	_	_	ही	ी_	__	__	__	ही_	ी__	___	___	___	ही__	ी___	____	____	____	ही___	ी____	_____	_____	_____	पैनल	पर	5	एमपी	0
5	0	1	5	NULL	NULL	5	NULL	NULL	0	5	_	_	_	_	5_	__	__	__	__	5__	___	___	___	___	5___	____	____	____	____	5____	_____	_____	_____	_____	पर	ही	एमपी	क्षमता	0
एमपी	0	4	ए	एम	एमप	ी	पी	मपी	0	ए	म	प	ी	_	एम	मप	पी	ी_	__	एमप	मपी	पी_	ी__	___	एमपी	मपी_	पी__	ी___	____	एमपी_	मपी__	पी___	ी____	_____	ही	5	क्षमता	का	0
क्षमता	0	6	क	क्	क्ष	ा	ता	मता	1	क	्	ष	म	त	क्	्ष	षम	मत	ता	क्ष	्षम	षमत	मता	ता_	क्षम	्षमत	षमता	मता_	ता__	क्षमत	्षमता	षमता_	मता__	ता___	5	एमपी	का	कैमरा	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	एमपी	क्षमता	कैमरा	एलईडी	0
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	क्षमता	का	एलईडी	फ्लैश	B_ASP
एलईडी	0	5	ए	एल	एलई	ी	डी	ईडी	0	ए	ल	ई	ड	ी	एल	लई	ईड	डी	ी_	एलई	लईड	ईडी	डी_	ी__	एलईड	लईडी	ईडी_	डी__	ी___	एलईडी	लईडी_	ईडी__	डी___	ी____	का	कैमरा	फ्लैश	के	I_ASP
फ्लैश	0	5	फ	फ्	फ्ल	श	ैश	लैश	1	फ	्	ल	ै	श	फ्	्ल	लै	ैश	श_	फ्ल	्लै	लैश	ैश_	श__	फ्लै	्लैश	लैश_	ैश__	श___	फ्लैश	्लैश_	लैश__	ैश___	श____	कैमरा	एलईडी	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	एलईडी	फ्लैश	साथ	मिलता	I_ASP
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	फ्लैश	के	मिलता	है	I_ASP
मिलता	0	5	म	मि	मिल	ा	ता	लता	0	म	ि	ल	त	ा	मि	िल	लत	ता	ा_	मिल	िलत	लता	ता_	ा__	मिलत	िलता	लता_	ता__	ा___	मिलता	िलता_	लता__	ता___	ा____	के	साथ	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	साथ	मिलता	NULL	NULL	0
EOL
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	NULL	NULL	फोन	में	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	NULL	इस	में	एंड्रायड	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इस	फोन	एंड्रायड	4.1.2	0
एंड्रायड	0	8	ए	एं	एंड	ड	यड	ायड	0	ए	ं	ड	्	र	एं	ंड	ड्	्र	रा	एंड	ंड्	ड्र	्रा	राय	एंड्	ंड्र	ड्रा	्राय	रायड	एंड्र	ंड्रा	ड्राय	्रायड	रायड_	फोन	में	4.1.2	जैली	B_ASP
4.1.2	0	5	4	4.	4.1	2	.2	1.2	0	4	.	1	.	2	4.	.1	1.	.2	2_	4.1	.1.	1.2	.2_	2__	4.1.	.1.2	1.2_	.2__	2___	4.1.2	.1.2_	1.2__	.2___	2____	में	एंड्रायड	जैली	बीन	I_ASP
जैली	0	4	ज	जै	जैल	ी	ली	ैली	0	ज	ै	ल	ी	_	जै	ैल	ली	ी_	__	जैल	ैली	ली_	ी__	___	जैली	ैली_	ली__	ी___	____	जैली_	ैली__	ली___	ी____	_____	एंड्रायड	4.1.2	बीन	साफ्टवेयर	I_ASP
बीन	0	3	ब	बी	बीन	न	ीन	बीन	0	ब	ी	न	_	_	बी	ीन	न_	__	__	बीन	ीन_	न__	___	___	बीन_	ीन__	न___	____	____	बीन__	ीन___	न____	_____	_____	4.1.2	जैली	साफ्टवेयर	है	I_ASP
साफ्टवेयर	0	9	स	सा	साफ	र	यर	ेयर	0	स	ा	फ	्	ट	सा	ाफ	फ्	्ट	टव	साफ	ाफ्	फ्ट	्टव	टवे	साफ्	ाफ्ट	फ्टव	्टवे	टवेय	साफ्ट	ाफ्टव	फ्टवे	्टवेय	टवेयर	जैली	बीन	है	जो	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	बीन	साफ्टवेयर	जो	कई	0
जो	1	2	ज	जो	NULL	ो	जो	NULL	0	ज	ो	_	_	_	जो	ो_	__	__	__	जो_	ो__	___	___	___	जो__	ो___	____	____	____	जो___	ो____	_____	_____	_____	साफ्टवेयर	है	कई	एप्लीकेशन्स	0
कई	1	2	क	कई	NULL	ई	कई	NULL	0	क	ई	_	_	_	कई	ई_	__	__	__	कई_	ई__	___	___	___	कई__	ई___	____	____	____	कई___	ई____	_____	_____	_____	है	जो	एप्लीकेशन्स	उपलब्ध	0
एप्लीकेशन्स	0	11	ए	एप	एप्	स	्स	न्स	1	ए	प	्	ल	ी	एप	प्	्ल	ली	ीक	एप्	प्ल	्ली	लीक	ीके	एप्ल	प्ली	्लीक	लीके	ीकेश	एप्ली	प्लीक	्लीके	लीकेश	ीकेशन	जो	कई	उपलब्ध	करवाता	B_ASP
उपलब्ध	0	6	उ	उप	उपल	ध	्ध	ब्ध	0	उ	प	ल	ब	्	उप	पल	लब	ब्	्ध	उपल	पलब	लब्	ब्ध	्ध_	उपलब	पलब्	लब्ध	ब्ध_	्ध__	उपलब्	पलब्ध	लब्ध_	ब्ध__	्ध___	कई	एप्लीकेशन्स	करवाता	है	0
करवाता	0	6	क	कर	करव	ा	ता	ाता	0	क	र	व	ा	त	कर	रव	वा	ात	ता	करव	रवा	वात	ाता	ता_	करवा	रवात	वाता	ाता_	ता__	करवात	रवाता	वाता_	ाता__	ता___	एप्लीकेशन्स	उपलब्ध	है	जिनमें	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	उपलब्ध	करवाता	जिनमें	‘गूगल	0
जिनमें	0	6	ज	जि	जिन	ं	ें	में	0	ज	ि	न	म	े	जि	िन	नम	मे	ें	जिन	िनम	नमे	में	ें_	जिनम	िनमे	नमें	में_	ें__	जिनमे	िनमें	नमें_	में__	ें___	करवाता	है	‘गूगल	नाओ’	0
‘गूगल	0	5	‘	‘ग	‘गू	ल	गल	ूगल	0	‘	ग	ू	ग	ल	‘ग	गू	ूग	गल	ल_	‘गू	गूग	ूगल	गल_	ल__	‘गूग	गूगल	ूगल_	गल__	ल___	‘गूगल	गूगल_	ूगल__	गल___	ल____	है	जिनमें	नाओ’	भी	B_ASP
नाओ’	0	4	न	ना	नाओ	’	ओ’	ाओ’	0	न	ा	ओ	’	_	ना	ाओ	ओ’	’_	__	नाओ	ाओ’	ओ’_	’__	___	नाओ’	ाओ’_	ओ’__	’___	____	नाओ’_	ाओ’__	ओ’___	’____	_____	जिनमें	‘गूगल	भी	शामिल	I_ASP
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	‘गूगल	नाओ’	शामिल	है	0
शामिल	0	5	श	शा	शाम	ल	िल	मिल	0	श	ा	म	ि	ल	शा	ाम	मि	िल	ल_	शाम	ामि	मिल	िल_	ल__	शामि	ामिल	मिल_	िल__	ल___	शामिल	ामिल_	मिल__	िल___	ल____	नाओ’	भी	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	भी	शामिल	NULL	NULL	0
EOL
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	NULL	NULL	प्रोसेसर	क्वालकॉम	0
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	NULL	इसमें	क्वालकॉम	का	0
क्वालकॉम	0	8	क	क्	क्व	म	ॉम	कॉम	0	क	्	व	ा	ल	क्	्व	वा	ाल	लक	क्व	्वा	वाल	ालक	लकॉ	क्वा	्वाल	वालक	ालकॉ	लकॉम	क्वाल	्वालक	वालकॉ	ालकॉम	लकॉम_	इसमें	प्रोसेसर	का	नया	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	प्रोसेसर	क्वालकॉम	नया	ओक्टा	0
नया	0	3	न	नय	नया	ा	या	नया	0	न	य	ा	_	_	नय	या	ा_	__	__	नया	या_	ा__	___	___	नया_	या__	ा___	____	____	नया__	या___	ा____	_____	_____	क्वालकॉम	का	ओक्टा	प्रोसेसर	0
ओक्टा	0	5	ओ	ओक	ओक्	ा	टा	्टा	0	ओ	क	्	ट	ा	ओक	क्	्ट	टा	ा_	ओक्	क्ट	्टा	टा_	ा__	ओक्ट	क्टा	्टा_	टा__	ा___	ओक्टा	क्टा_	्टा__	टा___	ा____	का	नया	प्रोसेसर	स्नैपड्रैगन	B_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	नया	ओक्टा	स्नैपड्रैगन	615	I_ASP
स्नैपड्रैगन	0	11	स	स्	स्न	न	गन	ैगन	0	स	्	न	ै	प	स्	्न	नै	ैप	पड	स्न	्नै	नैप	ैपड	पड्	स्नै	्नैप	नैपड	ैपड्	पड्र	स्नैप	्नैपड	नैपड्	ैपड्र	पड्रै	ओक्टा	प्रोसेसर	615	दिया	0
615	0	3	6	61	615	5	15	615	0	6	1	5	_	_	61	15	5_	__	__	615	15_	5__	___	___	615_	15__	5___	____	____	615__	15___	5____	_____	_____	प्रोसेसर	स्नैपड्रैगन	दिया	गया	0
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	स्नैपड्रैगन	615	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	615	दिया	है	जिसमें	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	जिसमें	64	0
जिसमें	0	6	ज	जि	जिस	ं	ें	में	0	ज	ि	स	म	े	जि	िस	सम	मे	ें	जिस	िसम	समे	में	ें_	जिसम	िसमे	समें	में_	ें__	जिसमे	िसमें	समें_	में__	ें___	गया	है	64	बिट	0
64	0	2	6	64	NULL	4	64	NULL	0	6	4	_	_	_	64	4_	__	__	__	64_	4__	___	___	___	64__	4___	____	____	____	64___	4____	_____	_____	_____	है	जिसमें	बिट	ऑक्टा	B_ASP
बिट	0	3	ब	बि	बिट	ट	िट	बिट	0	ब	ि	ट	_	_	बि	िट	ट_	__	__	बिट	िट_	ट__	___	___	बिट_	िट__	ट___	____	____	बिट__	िट___	ट____	_____	_____	जिसमें	64	ऑक्टा	कोर	I_ASP
ऑक्टा	0	5	ऑ	ऑक	ऑक्	ा	टा	्टा	0	ऑ	क	्	ट	ा	ऑक	क्	्ट	टा	ा_	ऑक्	क्ट	्टा	टा_	ा__	ऑक्ट	क्टा	्टा_	टा__	ा___	ऑक्टा	क्टा_	्टा__	टा___	ा____	64	बिट	कोर	प्रोसेसर	I_ASP
कोर	0	3	क	को	कोर	र	ोर	कोर	0	क	ो	र	_	_	को	ोर	र_	__	__	कोर	ोर_	र__	___	___	कोर_	ोर__	र___	____	____	कोर__	ोर___	र____	_____	_____	बिट	ऑक्टा	प्रोसेसर	लगा	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	ऑक्टा	कोर	लगा	होता	I_ASP
लगा	0	3	ल	लग	लगा	ा	गा	लगा	0	ल	ग	ा	_	_	लग	गा	ा_	__	__	लगा	गा_	ा__	___	___	लगा_	गा__	ा___	____	____	लगा__	गा___	ा____	_____	_____	कोर	प्रोसेसर	होता	है	0
होता	1	4	ह	हो	होत	ा	ता	ोता	0	ह	ो	त	ा	_	हो	ोत	ता	ा_	__	होत	ोता	ता_	ा__	___	होता	ोता_	ता__	ा___	____	होता_	ोता__	ता___	ा____	_____	प्रोसेसर	लगा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	लगा	होता	NULL	NULL	0
EOL
मिज़ू	0	4	म	मि	मिज़	ू	ज़ू	िज़ू	0	म	ि	ज़	ू	_	मि	िज़	ज़ू	ू_	__	मिज़	िज़ू	ज़ू_	ू__	___	मिज़ू	िज़ू_	ज़ू__	ू___	____	मिज़ू_	िज़ू__	ज़ू___	ू____	_____	NULL	NULL	एप्पल	के	0
एप्पल	0	5	ए	एप	एप्	ल	पल	्पल	0	ए	प	्	प	ल	एप	प्	्प	पल	ल_	एप्	प्प	्पल	पल_	ल__	एप्प	प्पल	्पल_	पल__	ल___	एप्पल	प्पल_	्पल__	पल___	ल____	NULL	मिज़ू	के	आईफ़ोन	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	मिज़ू	एप्पल	आईफ़ोन	5	0
आईफ़ोन	0	5	आ	आई	आईफ़	न	ोन	फ़ोन	0	आ	ई	फ़	ो	न	आई	ईफ़	फ़ो	ोन	न_	आईफ़	ईफ़ो	फ़ोन	ोन_	न__	आईफ़ो	ईफ़ोन	फ़ोन_	ोन__	न___	आईफ़ोन	ईफ़ोन_	फ़ोन__	ोन___	न____	एप्पल	के	5	सी	0
5	0	1	5	NULL	NULL	5	NULL	NULL	0	5	_	_	_	_	5_	__	__	__	__	5__	___	___	___	___	5___	____	____	____	____	5____	_____	_____	_____	_____	के	आईफ़ोन	सी	की	0
सी	0	2	स	सी	NULL	ी	सी	NULL	0	स	ी	_	_	_	सी	ी_	__	__	__	सी_	ी__	___	___	___	सी__	ी___	____	____	____	सी___	ी____	_____	_____	_____	आईफ़ोन	5	की	बराबरी	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	5	सी	बराबरी	का	0
बराबरी	0	6	ब	बर	बरा	ी	री	बरी	0	ब	र	ा	ब	र	बर	रा	ाब	बर	री	बरा	राब	ाबर	बरी	री_	बराब	राबर	ाबरी	बरी_	री__	बराबर	राबरी	ाबरी_	बरी__	री___	सी	की	का	है	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	की	बराबरी	है	इस	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	बराबरी	का	इस	स्मार्टफ़ोन	0
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	का	है	स्मार्टफ़ोन	में	0
स्मार्टफ़ोन	0	10	स	स्	स्म	न	ोन	फ़ोन	0	स	्	म	ा	र	स्	्म	मा	ार	र्	स्म	्मा	मार	ार्	र्ट	स्मा	्मार	मार्	ार्ट	र्टफ़	स्मार	्मार्	मार्ट	ार्टफ़	र्टफ़ो	है	इस	में	5.5-इंच	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इस	स्मार्टफ़ोन	5.5-इंच	1080p	0
5.5-इंच	0	7	5	5.	5.5	च	ंच	इंच	0	5	.	5	-	इ	5.	.5	5-	-इ	इं	5.5	.5-	5-इ	-इं	इंच	5.5-	.5-इ	5-इं	-इंच	इंच_	5.5-इ	.5-इं	5-इंच	-इंच_	इंच__	स्मार्टफ़ोन	में	1080p	की	0
1080p	0	5	1	10	108	p	0p	80p	0	1	0	8	0	p	10	08	80	0p	p_	108	080	80p	0p_	p__	1080	080p	80p_	0p__	p___	1080p	080p_	80p__	0p___	p____	में	5.5-इंच	की	डिस्प्ले	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	5.5-इंच	1080p	डिस्प्ले	है	0
डिस्प्ले	0	8	ड	डि	डिस	े	ले	्ले	1	ड	ि	स	्	प	डि	िस	स्	्प	प्	डिस	िस्	स्प	्प्	प्ल	डिस्	िस्प	स्प्	्प्ल	प्ले	डिस्प	िस्प्	स्प्ल	्प्ले	प्ले_	1080p	की	है	इसके	B_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	की	डिस्प्ले	इसके	साथ	0
इसके	1	4	इ	इस	इसक	े	के	सके	0	इ	स	क	े	_	इस	सक	के	े_	__	इसक	सके	के_	े__	___	इसके	सके_	के__	े___	____	इसके_	सके__	के___	े____	_____	डिस्प्ले	है	साथ	ही	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	है	इसके	ही	अगर	0
ही	1	2	ह	ही	NULL	ी	ही	NULL	0	ह	ी	_	_	_	ही	ी_	__	__	__	ही_	ी__	___	___	___	ही__	ी___	____	____	____	ही___	ी____	_____	_____	_____	इसके	साथ	अगर	प्रोसेसर	0
