बुध	ुधव	धवा	वार	ार_	
फोक	ोकस	कस_	स__	___	
का_	ा__	___	___	___	
फंक	ंक्	क्श	्शन	शन_	
नही	हीं	ीं_	ं__	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

हाल	ाला	लां	ांक	ंकि	
अगर	गर_	र__	___	___	
आपन	पने	ने_	े__	___	
एएफ	एफ_	फ__	___	___	
-JO	JOI	OIN	IN_	N__	
ए__	___	___	___	___	
या_	ा__	___	___	___	
ऑटो	टो_	ो__	___	___	
पॉइ	ॉइन	इन्	न्ट	्ट_	
सेल	ेले	लेक	ेक्	क्श	
सेट	ेट_	ट__	___	___	
नही	हीं	ीं_	ं__	___	
किय	िया	या_	ा__	___	
है_	ै__	___	___	___	
तो_	ो__	___	___	___	
एएफ	एफ_	फ__	___	___	
पॉइ	ॉइन	इन्	न्ट	्ट्	
के_	े__	___	___	___	
बीच	ीच_	च__	___	___	
शिफ	िफ्	फ्ट	्ट_	ट__	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

स्प	्पो	पोर	ोर्	र्ट	
इवे	वें	ेंट	ंट्	ट्स	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
कभी	भी_	ी__	___	___	
-JO	JOI	OIN	IN_	N__	
कभी	भी_	ी__	___	___	
फोट	ोटो	टोग	ोग्	ग्र	
का_	ा__	___	___	___	
शौक	ौक_	क__	___	___	
रखन	खने	ने_	े__	___	
वाल	ालो	लों	ों_	ं__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
ईजी	जी_	ी__	___	___	
टू_	ू__	___	___	___	
यूज	ूज_	ज__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

शौक	ौकि	किय	िया	या_	
फोट	ोटो	टोग	ोग्	ग्र	
करन	रने	ने_	े__	___	
वाल	ालो	लों	ों_	ं__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
इसम	समे	में	ें_	ं__	
कुछ	ुछ_	छ__	___	___	
प्र	्री	री_	ी__	___	
-JO	JOI	OIN	IN_	N__	
सेट	ेट्	ट्स	्स_	स__	
,__	___	___	___	___	
फिल	िल्	ल्ट	्टर	टर्	
और_	र__	___	___	___	
कलर	लर_	र__	___	___	
मोड	ोड्	ड्स	्स_	स__	
भी_	ी__	___	___	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

क्य	्यो	यों	ोंक	ंकि	
के-	े-5	-50	500	00_	
में	ें_	ं__	___	___	
पिक	िक्	क्च	्चर	चर_	
आइए	इएस	एसओ	सओ_	ओ__	
320	200	00_	0__	___	
(__	___	___	___	___	
ISO	SO_	O__	___	___	
320	200	00_	0__	___	
)__	___	___	___	___	
पर_	र__	___	___	___	
लिए	िए_	ए__	___	___	
जात	ाते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
,__	___	___	___	___	
इसल	सलि	लिए	िए_	ए__	
इसक	सकी	की_	ी__	___	
तस्	स्व	्वी	वीर	ीरे	
उच्	च्च	्च_	च__	___	
गुण	ुणव	णवत	वत्	त्त	
की_	ी__	___	___	___	
होत	ोती	ती_	ी__	___	
हैं	ैं_	ं__	___	___	
,__	___	___	___	___	
इनम	नमे	में	ें_	ं__	
धुं	ुंध	ंधल	धला	लाप	
नही	हीं	ीं_	ं__	___	
होत	ोता	ता_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

निक	िकॉ	कॉन	ॉन_	न__	
डी3	ी32	320	200	00_	
और_	र__	___	___	___	
कैन	ैनन	नन_	न__	___	
120	200	00ड	0डी	डी_	
की_	ी__	___	___	___	
तुल	ुलन	लना	ना_	ा__	
में	ें_	ं__	___	___	
इसक	सका	का_	ा__	___	
तस्	स्व	्वी	वीर	ीर_	
-JO	JOI	OIN	IN_	N__	
संत	ंतु	तुल	ुलन	लन_	
अच्	च्छ	्छा	छा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ऑटो	टो_	ो__	___	___	
व्ह	्हा	हाइ	ाइट	इट_	
बैल	ैले	लें	ेंस	ंस_	
हर_	र__	___	___	___	
सिच	िचु	चुए	ुएश	एशन	
में	ें_	ं__	___	___	
अच्	च्छ	्छा	छा_	ा__	
काम	ाम_	म__	___	___	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
और_	र__	___	___	___	
इसप	सपर	पर_	र__	___	
अच्	च्छ	्छी	छी_	ी__	
पिक	िक्	क्च	्चर	चर_	
का_	ा__	___	___	___	
भरो	रोस	ोसा	सा_	ा__	
आप_	प__	___	___	___	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पें	ेंट	ंटै	टैक	ैक्	
के-	े-5	-50	500	00_	
डीए	ीएस	एसए	सएल	एलआ	
:__	___	___	___	___	
शौक	ौकि	किय	िया	या_	
फोट	ोटो	टोग	ोग्	ग्र	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
अच्	च्छ	्छे	छे_	े__	
फीच	ीचर	चर्	र्स	्स_	
और_	र__	___	___	___	
अच्	च्छ	्छी	छी_	ी__	
कीम	ीमत	मत_	त__	___	
का_	ा__	___	___	___	
कैम	ैमर	मरा	रा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मजब	जबू	बूत	ूत_	त__	
बना	नाव	ावट	वट_	ट__	
और_	र__	___	___	___	
डिज	िजा	जाइ	ाइन	इन_	
,__	___	___	___	___	
100	00-	0-5	-51	512	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
आइए	इएस	एसओ	सओ_	ओ__	
का_	ा__	___	___	___	
बड़ा	ड़ा_	ा__	___	___	
रें	ेंज	ंज_	ज__	___	
6__	___	___	___	___	
और_	र__	___	___	___	
एफप	फपी	पीए	ीएस	एस_	
ड्र	्रा	राइ	ाइव	इव_	
मोट	ोटर	टर_	र__	___	
इसक	सकी	की_	ी__	___	
खास	ासि	सिय	ियत	यते	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एफ_	फ__	___	___	___	
मोट	ोटर	टर_	र__	___	
आवा	वाज	ाज_	ज__	___	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
इंट	ंटर	टरफ	रफे	फेस	
बहु	हुत	ुत_	त__	___	
पुर	ुरा	रान	ाने	ने_	
स्ट	्टा	टाइ	ाइल	इल_	
का_	ा__	___	___	___	
है_	ै__	___	___	___	
और_	र__	___	___	___	
व्य	्यू	यू_	ू__	___	
फाइ	ाइं	इंड	ंडर	डर_	
में	ें_	ं__	___	___	
एफ_	फ__	___	___	___	
पॉं	ॉंइ	ंइन	इन्	न्ट	
का_	ा__	___	___	___	
न__	___	___	___	___	
होन	ोना	ना_	ा__	___	
इसक	सकी	की_	ी__	___	
खाम	ामि	मिय	िया	या_	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पेन	ेन्	न्ट	्टे	टेक	
के-	े-5	-50	500	00_	
एक_	क__	___	___	___	
आकर	कर्	र्ष	्षक	षक_	
डीए	ीएस	एसए	सएल	एलआ	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कई_	ई__	___	___	___	
अच्	च्छ	्छे	छे_	े__	
फीच	ीचर	चर्	र्स	्स_	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
इसक	सकी	की_	ी__	___	
इमे	मेज	ेज_	ज__	___	
की_	ी__	___	___	___	
क्व	्वा	वाल	ालि	लिट	
भी_	ी__	___	___	___	
बेह	ेहद	हद_	द__	___	
अच्	च्छ	्छी	छी_	ी__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बिन	िना	ना_	ा__	___	
एक्	क्स	्से	सेस	ेसर	
और_	र__	___	___	___	
लें	ेंस	ंसे	सेस	ेस_	
के_	े__	___	___	___	
डीए	ीएस	एसए	सएल	एलआ	
खरी	रीद	ीदन	दना	ना_	
वास	ास्	स्त	्तव	तव_	
में	ें_	ं__	___	___	
बुद	ुद्	द्ध	्धि	धिम	
का_	ा__	___	___	___	
सौद	ौदा	दा_	ा__	___	
नही	हीं	ीं_	ं__	___	
कहा	हा_	ा__	___	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
,__	___	___	___	___	
पर_	र__	___	___	___	
फोट	ोटो	टोग	ोग्	ग्र	
की_	ी__	___	___	___	
शुर	ुरु	रुआ	ुआत	आत_	
कर_	र__	___	___	___	
रहे	हे_	े__	___	___	
लोग	ोगो	गों	ों_	ं__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
यह_	ह__	___	___	___	
डीए	ीएस	एसए	सएल	एलआ	
एक_	क__	___	___	___	
बढि	ढिय	िया	या_	ा__	
विक	िकल	कल्	ल्प	्प_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

हाल	ाला	लां	ांक	ंकि	
जो_	ो__	___	___	___	
अपन	पनी	नी_	ी__	___	
फोट	ोटो	टोग	ोग्	ग्र	
स्क	्कि	किल	िल्	ल्स	
बढ़ा	ढ़ान	ाना	ना_	ा__	
चहत	हते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
उनक	नके	के_	े__	___	
लिए	िए_	ए__	___	___	
निक	िकॉ	कॉन	ॉन_	न__	
या_	ा__	___	___	___	
कैन	ैनन	नन_	न__	___	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
जान	ाना	ना_	ा__	___	
ही_	ी__	___	___	___	
अच्	च्छ	्छा	छा_	ा__	
चुन	ुना	नाव	ाव_	व__	
होग	ोगा	गा_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

निक	िकॉ	कॉन	ॉन_	न__	
ने_	े__	___	___	___	
पहल	हली	ली_	ी__	___	
बार	ार_	र__	___	___	
D53	530	300	00_	0__	
नाम	ाम_	म__	___	___	
से_	े__	___	___	___	
नया	या_	ा__	___	___	
डीए	ीएस	एसए	सएल	एलआ	
कैम	ैमर	मरा	रा_	ा__	
लां	ांच	ंच_	च__	___	
किय	िया	या_	ा__	___	
है_	ै__	___	___	___	
जिस	िसम	समे	में	ें_	
जीप	ीपी	पीए	ीएस	एस_	
और_	र__	___	___	___	
वाई	ाईफ	ईफा	फाई	ाई_	
कने	नेक	ेक्	क्‍	्‍ट	
का_	ा__	___	___	___	
फीच	ीचर	चर_	र__	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
यान	ानी	नी_	ी__	___	
आप_	प__	___	___	___	
कैम	ैमर	मरे	रे_	े__	
से_	े__	___	___	___	
सीध	ीधे	धे_	े__	___	
अपन	पनी	नी_	ी__	___	
तस्	स्‍	्‍व	‍वी	वीर	
शेय	ेयर	यर_	र__	___	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सके	के_	े__	___	
अला	लाव	ावा	वा_	ा__	
कैम	ैमर	मरे	रे_	े__	
से_	े__	___	___	___	
टैब	ैबल	बले	लेट	ेट_	
और_	र__	___	___	___	
स्‍	्‍म	‍मा	मार	ार्	
में	ें_	ं__	___	___	
भी_	ी__	___	___	___	
फोट	ोटो	टो_	ो__	___	
शेय	ेयर	यर_	र__	___	
की_	ी__	___	___	___	
जा_	ा__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वाई	ाईफ	ईफा	फाई	ाई_	
की_	ी__	___	___	___	
मदद	दद_	द__	___	___	
से_	े__	___	___	___	
जहा	हां	ां_	ं__	___	
कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
फोट	ोटो	टो_	ो__	___	
शेय	ेयर	यर_	र__	___	
की_	ी__	___	___	___	
जा_	ा__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
वही	हीं	ीं_	ं__	___	
इसम	समे	में	ें_	ं__	
रिम	िमो	मोट	ोट_	ट__	
कंट	ंट्	ट्र	्रो	रोल	
द्व	्वा	वार	ारा	रा_	
फोट	ोटो	टो_	ो__	___	
शूट	ूट_	ट__	___	___	
करन	रने	ने_	े__	___	
की_	ी__	___	___	___	
सुव	ुवि	विध	िधा	धा_	
यूज	ूजर	जर_	र__	___	
को_	ो__	___	___	___	
मिल	िले	लेग	ेगी	गी_	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सके	के_	े__	___	
अला	लाव	ावा	वा_	ा__	
कैम	ैमर	मरे	रे_	े__	
द्व	्वा	वार	ारा	रा_	
खीं	ींच	ंची	ची_	ी__	
गई_	ई__	___	___	___	
तस्	स्‍	्‍व	‍वी	वीर	
में	ें_	ं__	___	___	
जिय	ियो	योट	ोटै	टैग	
की_	ी__	___	___	___	
मदद	दद_	द__	___	___	
से_	े__	___	___	___	
अपन	पने	ने_	े__	___	
दोस	ोस्	स्‍	्‍त	‍तो	
को_	ो__	___	___	___	
टैग	ैग_	ग__	___	___	
भी_	ी__	___	___	___	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

दूस	ूसर	सरे	रे_	े__	
फीच	ीचर	चरो	रों	ों_	
पर_	र__	___	___	___	
नजर	जर_	र__	___	___	
डाल	ाले	लें	ें_	ं__	
तो_	ो__	___	___	___	
निक	िकॉ	कॉन	ॉन_	न__	
D53	530	300	00_	0__	
में	ें_	ं__	___	___	
192	920	20_	0__	___	
x__	___	___	___	___	
108	080	80_	0__	___	
रेज	ेज्	ज्‍	्‍य	‍यू	
सपो	पोर	ोर्	र्ट	्ट_	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
60_	0__	___	___	___	
पिक	िक्	क्‍	्‍स	‍सल	
फुल	ुल_	ल__	___	___	
एचड	चडी	डी_	ी__	___	
रिक	िका	कार	ार्	र्ड	
की_	ी__	___	___	___	
सुव	ुवि	विध	िधा	धा_	
दी_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
9__	___	___	___	___	
अलग	लग_	ग__	___	___	
-JO	JOI	OIN	IN_	N__	
अलग	लग_	ग__	___	___	
स्‍	्‍प	‍पे	पेश	ेशल	
इफे	फेक	ेक्	क्‍	्‍ट	
प्र	्रय	रयो	योग	ोग_	
किए	िए_	ए__	___	___	
जा_	ा__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
जैस	ैसे	से_	े__	___	
नाइ	ाइट	इट_	ट__	___	
विज	िज़	ज़न	़न_	न__	
,__	___	___	___	___	
सिल	िलह	लहो	होट	ोटे	
जिन	िन्	न्‍	्‍ह	‍हे	
यूज	ूजर	जर_	र__	___	
वीड	ीडि	डिय	ियो	यो_	
और_	र__	___	___	___	
स्‍	्‍ट	‍टि	टिल	िल_	
दोन	ोनो	नों	ों_	ं__	
तरह	रह_	ह__	___	___	
से_	े__	___	___	___	
प्र	्रय	रयो	योग	ोग_	
कर_	र__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

नए_	ए__	___	___	___	
मॉड	ॉडल	डल_	ल__	___	
में	ें_	ं__	___	___	
ज्‍	्‍य	‍या	याद	ादा	
आईए	ईएस	एसओ	सओ_	ओ__	
रें	ेंज	ंज_	ज__	___	
दी_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
जिस	िसस	ससे	से_	े__	
आप_	प__	___	___	___	
लो_	ो__	___	___	___	
लाइ	ाइट	इट_	ट__	___	
कंड	ंडी	डीश	ीशन	शन_	
में	ें_	ं__	___	___	
भी_	ी__	___	___	___	
अच्	च्‍	्‍छ	‍छी	छी_	
फोट	ोटो	टोग	ोग्	ग्र	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
100	00_	0__	___	___	
से_	े__	___	___	___	
12,	2,8	,80	800	00_	
तक_	क__	___	___	___	
आईए	ईएस	एसओ	सओ_	ओ__	
रें	ेंज	ंज_	ज__	___	
सेट	ेट_	ट__	___	___	
की_	ी__	___	___	___	
जा_	ा__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

D53	530	300	00_	0__	
में	ें_	ं__	___	___	
3.2	.2_	2__	___	___	
इंच	ंच_	च__	___	___	
की_	ी__	___	___	___	
एलस	लसी	सीड	ीडी	डी_	
स्‍	्‍क	‍क्	क्र	्री	
दी_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

भार	ारत	रती	तीय	ीय_	
बाज	ाजा	जार	ार_	र__	
में	ें_	ं__	___	___	
अभी	भी_	ी__	___	___	
निक	िकॉ	कॉन	ॉन_	न__	
ने_	े__	___	___	___	
ये_	े__	___	___	___	
कैम	ैमर	मरा	रा_	ा__	
लां	ांच	ंच_	च__	___	
नही	हीं	ीं_	ं__	___	
किय	िया	या_	ा__	___	
है_	ै__	___	___	___	
लेक	ेकि	किन	िन_	न__	
यूए	ूएस	एस_	स__	___	
में	ें_	ं__	___	___	
इसे	से_	े__	___	___	
800	00_	0__	___	___	
डॉल	ॉलर	लर_	र__	___	
यान	ानी	नी_	ी__	___	
48,	8,9	,98	984	84_	
रुप	ुपए	पए_	ए__	___	
में	ें_	ं__	___	___	
लां	ांच	ंच_	च__	___	
किय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पें	ेंट	ंटे	टेक	ेक्	
एमए	मएक	एक्	क्‍	्‍स	
1__	___	___	___	___	
प्‍	्‍व	‍वा	वाइ	ाइं	
एंड	ंड_	ड__	___	___	
शूट	ूट_	ट__	___	___	
पें	ेंट	ंटे	टेक	ेक्	
के_	े__	___	___	___	
नए_	ए__	___	___	___	
प्‍	्‍व	‍वा	वाइ	ाइं	
और_	र__	___	___	___	
शूट	ूट_	ट__	___	___	
कैम	ैमर	मरे	रे_	े__	
MX_	X__	___	___	___	
-JO	JOI	OIN	IN_	N__	
1__	___	___	___	___	
में	ें_	ं__	___	___	
12_	2__	___	___	___	
मेग	ेगा	गाप	ापि	पिक	
का_	ा__	___	___	___	
सीए	ीएम	एमओ	मओए	ओएस	
सें	ेंस	ंसर	सर_	र__	
लगा	गा_	ा__	___	___	
हुआ	ुआ_	आ__	___	___	
है_	ै__	___	___	___	
साथ	ाथ_	थ__	___	___	
में	ें_	ं__	___	___	
4__	___	___	___	___	
एक्	क्‍	्‍स	‍स_	स__	
जूम	ूम_	म__	___	___	
और_	र__	___	___	___	
3इं	इंच	ंच_	च__	___	
की_	ी__	___	___	___	
एलस	लसी	सीड	ीडी	डी_	
स्‍	्‍क	‍क्	क्र	्री	
दी_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
बेह	ेहत	हतर	तर_	र__	
फोट	ोटो	टोग	ोग्	ग्र	
कैप	ैपे	पेच	ेचर	चर_	
करत	रती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

फूज	ूजी	जी_	ी__	___	
फिल	िल्	ल्‍	्‍म	‍म_	
एक्	क्‍	्‍स	‍स_	स__	
20_	0__	___	___	___	
और_	र__	___	___	___	
एक्	क्‍	्‍स	‍स_	स__	
100	00_	0__	___	___	
फूज	ूजी	जीफ	ीफि	फिल	
X20	20_	0__	___	___	
और_	र__	___	___	___	
X10	100	00S	0S_	S__	
मॉड	ॉडल	डल_	ल__	___	
में	ें_	ं__	___	___	
16.	6.3	.3_	3__	___	
मेग	ेगा	गाप	ापि	पिक	
एपी	पीए	ीएस	एस_	स__	
सी_	ी__	___	___	___	
सें	ेंस	ंसर	सर_	र__	
लगा	गा_	ा__	___	___	
हुआ	ुआ_	आ__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जबक	बकि	कि_	ि__	___	
एक्	क्‍	्‍स	‍स_	स__	
20_	0__	___	___	___	
में	ें_	ं__	___	___	
एक्	क्‍	्‍स	‍स_	स__	
ट्र	्रा	रां	ांस	ंस_	
सीए	ीएम	एमओ	मओए	ओएस	
II_	I__	___	___	___	
प्र	्रो	रोस	ोसे	सेस	
लगा	गा_	ा__	___	___	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
ऑटो	टो_	ो__	___	___	
फोक	ोकस	कस_	स__	___	
को_	ो__	___	___	___	
और_	र__	___	___	___	
इंप	ंप्	प्र	्रू	रूव	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
लगे	गे_	े__	___	___	
सें	ेंस	ंसर	सर_	र__	
अंध	ंधे	धेर	ेरे	रे_	
में	ें_	ं__	___	___	
ऑटो	टोम	ोमे	मेट	ेटि	
एडज	डजस	जस्	स्‍	्‍ट	
हो_	ो__	___	___	___	
कर_	र__	___	___	___	
लाइ	ाइट	इट_	ट__	___	
इंप	ंप्	प्र	्रू	रूव	
कर_	र__	___	___	___	
लेत	ेते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

सैम	ैमस	मसं	संग	ंग_	
एनए	नएक	एक्	क्‍	्‍स	
300	00_	0__	___	___	
मिर	िरर	ररल	रले	लेस	
इंट	ंटर	टरच	रचे	चें	
लें	ेंस	ंस_	स__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देख	ेखन	खने	ने_	े__	
में	ें_	ं__	___	___	
रेट	ेट्	ट्र	्रो	रो_	
लुक	ुक_	क__	___	___	
वाल	ाले	ले_	े__	___	
नए_	ए__	___	___	___	
कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
एमो	मोल	ोल्	ल्‍	्‍ड	
3__	___	___	___	___	
इंच	ंच_	च__	___	___	
की_	ी__	___	___	___	
स्‍	्‍क	‍क्	क्र	्री	
दी_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
768	68,	8,0	,00	000	
डॉट	ॉट्	ट्स	्स_	स__	
सपो	पोर	ोर्	र्ट	्ट_	
करत	रती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सके	के_	े__	___	
अला	लाव	ावा	वा_	ा__	
कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
एपी	पीए	ीएस	एस_	स__	
सीए	ीएम	एमओ	मओए	ओएस	
20.	0.3	.3_	3__	___	
मेग	ेगा	गाप	ापि	पिक	
सें	ेंस	ंसर	सर_	र__	
लगा	गा_	ा__	___	___	
हुआ	ुआ_	आ__	___	___	
है_	ै__	___	___	___	
जिस	िसक	सके	के_	े__	
साथ	ाथ_	थ__	___	___	
हाई	ाईब	ईब्	ब्र	्रि	
ऑटो	टो_	ो__	___	___	
फोक	ोकस	कस_	स__	___	
सिस	िस्	स्‍	्‍ट	‍टम	
इनब	नबि	बिल	िल्	ल्‍	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कैन	ैनन	नन_	न__	___	
का_	ा__	___	___	___	
पॉव	ॉवर	वर_	र__	___	
शॉट	ॉट_	ट__	___	___	
ELP	LPH	PH_	H__	___	
130	30I	0IS	IS_	S__	
एक_	क__	___	___	___	
ट्र	्रे	रेड	ेडी	डीश	
कैम	ैमर	मरा	रा_	ा__	
है_	ै__	___	___	___	
जिस	िसम	समे	में	ें_	
8__	___	___	___	___	
एक्	क्‍	्‍स	‍स_	स__	
जूम	ूम_	म__	___	___	
लें	ेंस	ंस_	स__	___	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
3__	___	___	___	___	
इंच	ंच_	च__	___	___	
की_	ी__	___	___	___	
एलस	लसी	सीड	ीडी	डी_	
स्‍	्‍क	‍क्	क्र	्री	
दी_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
16_	6__	___	___	___	
मेग	ेगा	गाप	ापि	पिक	
का_	ा__	___	___	___	
सीए	ीएम	एमओ	मओए	ओएस	
सें	ेंस	ंसर	सर_	र__	
लगा	गा_	ा__	___	___	
हुआ	ुआ_	आ__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सके	के_	े__	___	
अला	लाव	ावा	वा_	ा__	
ज्‍	्‍य	‍या	याद	ादा	
देर	ेर_	र__	___	___	
तक_	क__	___	___	___	
फोट	ोटो	टो_	ो__	___	
कैप	ैपच	पचर	चरि	रिं	
करन	रने	ने_	े__	___	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
प्र	्रो	रोल	ोलॉ	लॉग	
बैट	ैटर	टरी	री_	ी__	
दी_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कैम	ैमर	मरे	रे_	े__	
की_	ी__	___	___	___	
कीम	ीमत	मत_	त__	___	
पर_	र__	___	___	___	
नजर	जर_	र__	___	___	
डाल	ाले	लें	ें_	ं__	
तो_	ो__	___	___	___	
ये_	े__	___	___	___	
अनु	नुम	ुमा	मान	ानि	
11,	1,0	,06	060	60_	
रुप	ुपए	पए_	ए__	___	
में	ें_	ं__	___	___	
मिल	िले	लेग	ेगा	गा_	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

साइ	ाइज	इज_	ज__	___	
में	ें_	ं__	___	___	
छोट	ोटे	टे_	े__	___	
सा_	ा__	___	___	___	
दिख	िखन	खने	ने_	े__	
वाल	ाला	ला_	ा__	___	
कैन	ैनन	नन_	न__	___	
के_	े__	___	___	___	
इस_	स__	___	___	___	
कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
8__	___	___	___	___	
एक्	क्‍	्‍स	‍स_	स__	
जूम	ूम_	म__	___	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
साथ	ाथ_	थ__	___	___	
में	ें_	ं__	___	___	
दो_	ो__	___	___	___	
फिज	िजि	जिक	िकल	कल_	
मोड	ोड_	ड__	___	___	
मौज	ौजू	जूद	ूद_	द__	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कैम	ैमर	मरे	रे_	े__	
में	ें_	ं__	___	___	
2.8	.8_	8__	___	___	
इंच	ंच_	च__	___	___	
की_	ी__	___	___	___	
एलस	लसी	सीड	ीडी	डी_	
स्‍	्‍क	‍क्	क्र	्री	
इनब	नबि	बिल	िल्	ल्‍	
है_	ै__	___	___	___	
।__	___	___	___	___	
