बु	ुध	धव	वा	ार	
की	ी_	__	__	__	
है	ै_	__	__	__	
जि	िस	सस	से	े_	
इस	से	े_	__	__	
दि	िन	न_	__	__	
भर	र_	__	__	__	
बि	िन	ना	ा_	__	
चा	ार	र्	्ज	जि	
के	े_	__	__	__	
चल	ला	ान	ना	ा_	
शा	ाय	यद	द_	__	
सं	ंभ	भव	व_	__	
न_	__	__	__	__	
हो	ो_	__	__	__	
पा	ाए	ए_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
की	ी_	__	__	__	
एक	क_	__	__	__	
खा	ास	सि	िय	यत	
इस	सक	का	ा_	__	
इं	ंट	टे	ेल	ली	
वर	र्	्च	चु	ुअ	
बो	ोर	र्	्ड	ड_	
भी	ी_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कि	िस	सी	ी_	__	
भी	ी_	__	__	__	
शब	ब्	्द	द_	__	
पर	र_	__	__	__	
दो	ो_	__	__	__	
बा	ार	र_	__	__	
टै	ैप	प_	__	__	
कर	रे	ें	ंग	गे	
तो	ो_	__	__	__	
वह	ह_	__	__	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
बन	नी	ी_	__	__	
डि	िक	क्	्श	शन	
मे	ें	ं_	__	__	
खु	ुद	द_	__	__	
ब_	__	__	__	__	
खु	ुद	द_	__	__	
सु	ुर	रक	क्	्ष	
हो	ो_	__	__	__	
जा	ाए	एग	गा	ा_	
और	र_	__	__	__	
जब	ब_	__	__	__	
भी	ी_	__	__	__	
जर	रू	ूर	रत	त_	
हो	ो_	__	__	__	
इस	स्	्त	ते	ेम	
के	े_	__	__	__	
लि	िए	ए_	__	__	
सा	ाम	मन	ने	े_	
आ_	__	__	__	__	
जा	ाए	एग	गा	ा_	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
पो	ोल	ले	ेर	रि	
आफ	फि	िस	स_	__	
एप	प_	__	__	__	
सह	हि	ित	त_	__	
कई	ई_	__	__	__	
अन	न्	्य	य_	__	
ऐस	से	े_	__	__	
एप	प्	्ल	ली	ीक	
है	ैं	ं_	__	__	
जो	ो_	__	__	__	
आप	पक	को	ो_	__	
रो	ोज	जम	मर	र्	
के	े_	__	__	__	
का	ाम	मक	का	ाज	
मे	ें	ं_	__	__	
मद	दद	दग	गा	ार	
सा	ाब	बि	ित	त_	
हो	ों	ंग	गे	े_	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
का	ा_	__	__	__	
कै	ैम	मर	रा	ा_	
13	3_	__	__	__	
एम	मप	पी	ी_	__	
का	ा_	__	__	__	
है	ै_	__	__	__	
ले	ेक	कि	िन	न_	
इस	सक	की	ी_	__	
तस	स्	्व	वी	ीर	
उत	तन	नी	ी_	__	
सा	ाफ	फ_	__	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	प_	__	__	__	
इस	से	े_	__	__	
का	ाम	म_	__	__	
चल	ला	ाउ	उ_	__	
भी	ी_	__	__	__	
कह	ह_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्प	पी	ीड	ड_	
के	े_	__	__	__	
मा	ाम	मल	ले	े_	
मे	ें	ं_	__	__	
इस	सक	का	ा_	__	
को	ोई	ई_	__	__	
मु	ुक	का	ाब	बल	
नह	ही	ीं	ं_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अग	गर	र_	__	__	
कई	ई_	__	__	__	
एप	प्	्ल	ली	ीक	
एक	क_	__	__	__	
सा	ाथ	थ_	__	__	
चल	ला	ान	ना	ा_	
आप	पक	की	ी_	__	
जर	रू	ूर	रत	त_	
है	ै_	__	__	__	
तो	ो_	__	__	__	
यह	ह_	__	__	__	
फो	ोन	न_	__	__	
अच	च्	्छ	छा	ा_	
वि	िक	कल	ल्	्प	
सा	ाब	बि	ित	त_	
हो	ो_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
क्	्य	यो	ों	ंक	
यह	ह_	__	__	__	
एक	क_	__	__	__	
सा	ाथ	थ_	__	__	
कई	ई_	__	__	__	
का	ाम	म_	__	__	
कर	रत	ते	े_	__	
हु	ुए	ए_	__	__	
भी	ी_	__	__	__	
उत	तन	नी	ी_	__	
ही	ी_	__	__	__	
स्	्प	पी	ीड	ड_	
से	े_	__	__	__	
का	ाम	म_	__	__	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
का	ा_	__	__	__	
वज	जन	न_	__	__	
कम	म_	__	__	__	
है	ै_	__	__	__	
और	र_	__	__	__	
यह	ह_	__	__	__	
दि	िख	खन	ने	े_	
मे	ें	ं_	__	__	
भी	ी_	__	__	__	
बे	ेह	हत	तर	र_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेक	कि	िन	न_	
इस	सक	की	ी_	__	
बै	ैट	टर	री	ी_	
कम	मज	ज़	़ो	ोर	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अग	गर	र_	__	__	
आप	प_	__	__	__	
लग	गा	ात	ता	ार	
या	ात	त्	्र	रा	
कर	रन	ने	े_	__	
वा	ाल	लो	ों	ं_	
मे	ें	ं_	__	__	
से	े_	__	__	__	
है	ै_	__	__	__	
तो	ो_	__	__	__	
इस	स_	__	__	__	
फो	ोन	न_	__	__	
को	ो_	__	__	__	
बा	ार	र_	__	__	
बा	ार	र_	__	__	
चा	ार	र्	्ज	ज_	
कर	रन	ने	े_	__	
से	े_	__	__	__	
झं	ंु	ुझ	झल	ला	
हो	ो_	__	__	__	
सक	कत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कै	ैम	मर	रा	ा_	
भी	ी_	__	__	__	
बह	हु	ुत	त_	__	
जा	ान	नद	दा	ार	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेक	कि	िन	न_	
गे	ेम	मि	िं	ंग	
आद	दि	ि_	__	__	
का	ा_	__	__	__	
मज	ज़	़ा	ा_	__	
उठ	ठा	ान	ना	ा_	
हो	ो_	__	__	__	
तो	ो_	__	__	__	
यह	ह_	__	__	__	
फो	ोन	न_	__	__	
पस	सं	ंद	द_	__	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
दो	ो_	__	__	__	
जी	ीब	बी	ी_	__	
रै	ैम	म_	__	__	
है	ै_	__	__	__	
और	र_	__	__	__	
1.	.5	5_	__	__	
गी	ीग	गा	ाह	हर	
का	ा_	__	__	__	
क्	्व	वा	ाड	ड_	
को	ोर	र_	__	__	
प्	्र	रो	ोस	से	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	से	े_	__	__	
‘_	__	__	__	__	
सु	ुप	पर	रफ	फो	
’_	__	__	__	__	
का	ा_	__	__	__	
दर	र्	्ज	जा	ा_	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
क्	्य	यो	ों	ंक	
इस	सम	मे	ें	ं_	
कु	ुछ	छ_	__	__	
ऐस	से	े_	__	__	
फी	ीच	चर	र्	्स	
है	ैं	ं_	__	__	
जो	ो_	__	__	__	
अन	न्	्य	य_	__	
कि	िस	सी	ी_	__	
भी	ी_	__	__	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
नह	ही	ीं	ं_	__	
है	ैं	ं_	__	__	
मस	सल	लन	न_	__	
इस	स_	__	__	__	
फो	ोन	न_	__	__	
की	ी_	__	__	__	
स्	्क	क्	्र	री	
आप	पक	की	ी_	__	
आं	ंख	खो	ों	ं_	
की	ी_	__	__	__	
पु	ुल	लत	ति	िय	
हर	रक	कत	त_	__	
को	ो_	__	__	__	
पढ	ढ़	़क	कर	र_	
उस	स_	__	__	__	
की	ी_	__	__	__	
सह	हू	ूल	लि	िस	
के	े_	__	__	__	
हि	िस	सा	ाब	ब_	
से	े_	__	__	__	
का	ाम	म_	__	__	
कर	रे	ेग	गी	ी_	
।_	__	__	__	__	
EO	OL	L_	__	__	

अग	गर	र_	__	__	
आप	प_	__	__	__	
दा	ां	ंई	ई_	__	
ओर	र_	__	__	__	
दे	ेख	ख_	__	__	
रह	हे	े_	__	__	
है	ैे	े_	__	__	
तो	ो_	__	__	__	
फो	ोन	न_	__	__	
की	ी_	__	__	__	
स्	्क	क्	्र	री	
पर	र_	__	__	__	
चल	ल_	__	__	__	
रह	ही	ी_	__	__	
एप	प्	्ल	ली	ीक	
आप	पक	की	ी_	__	
आख	ख्	्ं	ंा	ा_	
की	ी_	__	__	__	
मू	ूव	वम	मे	ें	
को	ो_	__	__	__	
दा	ाय	यी	ीं	ं_	
तर	रफ	फ_	__	__	
फा	ाॅ	ॅल	लो	ो_	
कर	रत	ते	े_	__	
हु	ुए	ए_	__	__	
एप	प्	्ल	ली	ीक	
को	ो_	__	__	__	
दा	ां	ंय	यी	ी_	
ओर	र_	__	__	__	
ले	े_	__	__	__	
जा	ाए	एग	गी	ी_	
और	र_	__	__	__	
आप	पक	की	ी_	__	
आं	ंख	ख_	__	__	
की	ी_	__	__	__	
पु	ुत	तल	लि	िय	
की	ी_	__	__	__	
मू	ूव	वम	मे	ें	
बा	ाई	ईं	ं_	__	
ओर	र_	__	__	__	
है	ै_	__	__	__	
तो	ो_	__	__	__	
एप	प्	्ल	ली	ीक	
बा	ाई	ईं	ं_	__	
ओर	र_	__	__	__	
चल	ली	ी_	__	__	
जा	ाए	एग	गी	ी_	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
मा	ाॅ	ॅड	डल	ल_	
मे	ें	ं_	__	__	
10	08	80	0_	__	
पि	िक	क्	्स	सल	
और	र_	__	__	__	
पा	ां	ंच	च_	__	
इं	ंच	च_	__	__	
की	ी_	__	__	__	
शा	ान	नद	दा	ार	
स्	्क	क्	्र	री	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

13	3_	__	__	__	
मे	ेग	गा	ाप	पि	
का	ा_	__	__	__	
रि	िय	यर	र_	__	
कै	ैम	मर	रा	ा_	
जि	िस	सम	मे	ें	
फ्	्ल	लै	ैश	श_	
भी	ी_	__	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
2_	__	__	__	__	
एम	मप	पी	ी_	__	
का	ा_	__	__	__	
फ्	्र	रं	ंट	ट_	
कै	ैम	मर	रा	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पा	ां	ंच	च_	__	
इं	ंच	च_	__	__	
स्	्क	क्	्र	री	
10	08	80	0_	__	
पि	िक	क्	्स	सल	
के	े_	__	__	__	
रि	िज	ज़	़ो	ोल	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

1.	.9	9_	__	__	
अथ	थव	वा	ा_	__	
1.	.6	6_	__	__	
गी	ीग	गी	ीह	हर	
का	ा_	__	__	__	
प्	्र	रो	ोस	से	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

16	6_	__	__	__	
जी	ीब	बी	ी_	__	
इं	ंट	टर	रन	नल	
स्	्ट	टो	ोर	रे	
,_	__	__	__	__	
मा	ाइ	इक	क्	्र	
एस	सड	डी	ी_	__	
का	ार	र्	्ड	ड_	
से	े_	__	__	__	
इस	से	े_	__	__	
64	4_	__	__	__	
जी	ीब	बी	ी_	__	
तक	क_	__	__	__	
अप	पग	ग्	्र	रे	
कर	रन	ने	े_	__	
की	ी_	__	__	__	
सु	ुव	वि	िध	धा	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

2_	__	__	__	__	
जी	ीब	बी	ी_	__	
की	ी_	__	__	__	
रै	ैम	म_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एं	ंड	ड्	्र	रा	
4.	.2	2_	__	__	
जै	ैल	ली	ी_	__	
बी	ीन	न_	__	__	
आप	पर	रे	ेट	टि	
सि	िस	स्	्ट	टम	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

26	60	00	0_	__	
एम	मए	एए	एच	च_	
बै	ैट	टर	री	ी_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
का	ा_	__	__	__	
सब	बस	से	े_	__	
बड	ड़	़ा	ा_	__	
आक	कर	र्	्ष	षण	
है	ै_	__	__	__	
‘_	__	__	__	__	
‘_	__	__	__	__	
स्	्म	मा	ार	र्	
स्	्क	क्	्र	रा	
’_	__	__	__	__	
’_	__	__	__	__	
या	ान	नी	ी_	__	
जह	हा	ां	ं_	__	
आप	पक	की	ी_	__	
नज	ज़	़र	र_	__	
जा	ाए	एग	गी	ी_	
उस	सी	ी_	__	__	
के	े_	__	__	__	
अन	नु	ुर	रू	ूप	
फो	ोन	न_	__	__	
की	ी_	__	__	__	
स्	्क	क्	्र	री	
पर	र_	__	__	__	
आ_	__	__	__	__	
रह	हे	े_	__	__	
वा	ाक	क्	्य	य_	
अथ	थव	वा	ा_	__	
शब	ब्	्द	द_	__	
व_	__	__	__	__	
तस	स्	्व	वी	ीर	
अप	पन	नी	ी_	__	
मू	ूव	वम	मे	ें	
कर	रे	ें	ंग	गी	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
की	ी_	__	__	__	
स्	्क	क्	्र	री	
,_	__	__	__	__	
शा	ान	नद	दा	ार	
रि	िज	जो	ोल	ल्	
और	र_	__	__	__	
इस	सक	का	ा_	__	
कम	म_	__	__	__	
वज	जन	न_	__	__	
इस	से	े_	__	__	
आक	कर	र्	्ष	षक	
बन	ना	ात	ता	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेक	कि	िन	न_	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
कई	ई_	__	__	__	
फी	ीच	चर	र्	्स	
ऐस	से	े_	__	__	
है	ैं	ं_	__	__	
जो	ो_	__	__	__	
रो	ोज	जम	मर	र्	
की	ी_	__	__	__	
जि	िं	ंद	दग	गी	
मे	ें	ं_	__	__	
इत	तन	ने	े_	__	
का	ाम	म_	__	__	
के	े_	__	__	__	
नह	ही	ीं	ं_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
का	ा_	__	__	__	
प्	्र	रो	ोस	सर	
और	र_	__	__	__	
और	र_	__	__	__	
2_	__	__	__	__	
जी	ीब	बी	ी_	__	
की	ी_	__	__	__	
रै	ैम	म_	__	__	
इस	से	े_	__	__	
नि	िश	श्	्च	चि	
ही	ी_	__	__	__	
अच	च्	्छ	छी	ी_	
स्	्प	पी	ीड	ड_	
दे	ेत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अन	नु	ुव	वा	ाद	
के	े_	__	__	__	
लि	िए	ए_	__	__	
मौ	ौज	जू	ूद	द_	
ट्	्र	रा	ां	ंस	
टू	ूल	ल_	__	__	
और	र_	__	__	__	
गू	ूग	गल	ल_	__	
के	े_	__	__	__	
ट्	्र	रा	ां	ंस	
टू	ूल	ल_	__	__	
मे	ें	ं_	__	__	
को	ोई	ई_	__	__	
खा	ास	स_	__	__	
फर	र्	्क	क_	__	
नह	ही	ीं	ं_	__	
लग	गत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इत	तन	ने	े_	__	
पै	ैस	से	े_	__	
खर	र्	्च	च_	__	
कर	रन	ने	े_	__	
के	े_	__	__	__	
बा	ाद	द_	__	__	
इस	स_	__	__	__	
फो	ोन	न_	__	__	
से	े_	__	__	__	
ऐस	सा	ा_	__	__	
कु	ुछ	छ_	__	__	
खा	ास	स_	__	__	
नह	ही	ीं	ं_	__	
मि	िल	ल_	__	__	
पा	ाए	एग	गा	ा_	
जो	ो_	__	__	__	
इस	सस	से	े_	__	
कु	ुछ	छ_	__	__	
कम	म_	__	__	__	
की	ीम	मत	त_	__	
के	े_	__	__	__	
मा	ाड	डल	लो	ों	
मे	ें	ं_	__	__	
न_	__	__	__	__	
मि	िल	ल_	__	__	
रह	हा	ा_	__	__	
हो	ो_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सल	लि	िए	ए_	
इस	से	े_	__	__	
आप	प_	__	__	__	
फो	ोन	न_	__	__	
और	र_	__	__	__	
टै	ैब	बल	ले	ेट	
का	ा_	__	__	__	
सं	ंग	गम	म_	__	
-_	__	__	__	__	
या	ान	नी	ी_	__	
कि	ि_	__	__	__	
फै	ैब	बल	ले	ेट	
भी	ी_	__	__	__	
कह	ह_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
का	ा_	__	__	__	
डि	िज	ज़	़ा	ाइ	
सा	ाद	दा	ा_	__	
है	ै_	__	__	__	
और	र_	__	__	__	
बह	हु	ुत	त_	__	
आक	कर	र्	्ष	षक	
भी	ी_	__	__	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हो	ो_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
यु	ुव	वा	ाओ	ओं	
को	ो_	__	__	__	
यह	ह_	__	__	__	
ज्	्य	या	ाद	दा	
पस	सं	ंद	द_	__	
न_	__	__	__	__	
आए	ए_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
की	ी_	__	__	__	
स्	्क	क्	्र	री	
का	ा_	__	__	__	
एच	चड	डी	ी_	__	
या	ान	नी	ी_	__	
कि	ि_	__	__	__	
हा	ाई	ई_	__	__	
डे	ेफ	फि	िन	ने	
डि	िस	सप	प्	्ल	
ज़	़र	रू	ूर	र_	
आक	कर	र्	्ष	षक	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्क	क्	्र	री	
का	ा_	__	__	__	
रि	िज	ज़	़्	्ो	
54	40	0_	__	__	
गु	ुण	णा	ा_	__	
96	60	0_	__	__	
पि	िक	क्	्स	सल	
है	ै_	__	__	__	
जि	िस	सक	की	ी_	
वज	जह	ह_	__	__	
से	े_	__	__	__	
ग्	्र	रा	ाफ	फि	
स्	्प	पष	ष्	्ट	
दि	िख	खत	ते	े_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
एं	ंड	ड्	्र	रा	
4.	.1	1.	.2	2_	
जै	ैल	ली	ी_	__	
बी	ीन	न_	__	__	
सा	ाफ	फ्	्ट	टव	
है	ै_	__	__	__	
जो	ो_	__	__	__	
कई	ई_	__	__	__	
एप	प्	्ल	ली	ीक	
उप	पल	लब	ब्	्ध	
कर	रव	वा	ात	ता	
है	ै_	__	__	__	
जि	िन	नम	मे	ें	
‘_	__	__	__	__	
गू	ूग	गल	ल_	__	
ना	ाओ	ओ_	__	__	
’_	__	__	__	__	
भी	ी_	__	__	__	
शा	ाम	मि	िल	ल_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
या	ाह	हू	ू_	__	
मै	ैस	से	ें	ंज	
भी	ी_	__	__	__	
है	ै_	__	__	__	
और	र_	__	__	__	
वट	ट्	्स	स_	__	
एै	ैप	प_	__	__	
का	ा_	__	__	__	
लि	िं	ंक	क_	__	
डा	ाउ	उन	नल	लो	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
पा	ां	ंच	च_	__	
मे	ेग	गा	ाप	पि	
का	ा_	__	__	__	
कै	ैम	मर	रा	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
एक	क_	__	__	__	
सा	ाथ	थ_	__	__	
फ्	्र	रं	ंट	ट_	
और	र_	__	__	__	
रि	िय	यर	र_	__	
कै	ैम	मर	रा	ा_	
का	ा_	__	__	__	
इस	स्	्त	ते	ेम	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
जो	ो_	__	__	__	
सु	ुव	वि	िध	धा	
कई	ई_	__	__	__	
अन	न्	्य	य_	__	
एं	ंड	ड्	्र	रा	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
उप	पल	लब	ब्	्ध	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सी	ी_	__	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
ठी	ीक	क_	__	__	
-J	JO	OI	IN	N_	
ठा	ाक	क_	__	__	
क्	्व	वा	ाल	लि	
-_	__	__	__	__	
का	ा_	__	__	__	
वी	ीड	डि	िय	यो	
शू	ूट	ट_	__	__	
कर	रन	ने	े_	__	
की	ी_	__	__	__	
भी	ी_	__	__	__	
सु	ुव	वि	िध	धा	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
मा	ाॅ	ॅड	डल	ल_	
मे	ें	ं_	__	__	
1.	.2	2_	__	__	
गी	ीग	गा	ाह	हर	
का	ा_	__	__	__	
क्	्व	वा	ाड	ड_	
-J	JO	OI	IN	N_	
को	ोर	र_	__	__	
प्	्र	रो	ोस	से	
है	ै_	__	__	__	
और	र_	__	__	__	
एक	क_	__	__	__	
जी	ीब	बी	ी_	__	
रै	ैम	म_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ग्	्र	रा	ाफ	फि	
की	ी_	__	__	__	
प्	्र	रो	ोस	से	
के	े_	__	__	__	
लि	िए	ए_	__	__	
इस	सम	मे	ें	ं_	
एड	डर	रि	िन	नो	
20	03	3_	__	__	
चि	िप	प_	__	__	
लग	गा	ाय	या	ा_	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इं	ंट	टर	रन	नल	
स्	्ट	टो	ोर	रे	
4ज	जी	ीब	बी	ी_	
की	ी_	__	__	__	
है	ै_	__	__	__	
जि	िस	से	े_	__	
मा	ाइ	इक	क्	्र	
एस	सड	डी	ी_	__	
का	ार	र्	्ड	ड_	
से	े_	__	__	__	
32	2_	__	__	__	
जी	ीब	बी	ी_	__	
तक	क_	__	__	__	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
ने	ेव	वि	िग	गे	
की	ी_	__	__	__	
स्	्प	पी	ीड	ड_	
अच	च्	्छ	छी	ी_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
एफ	फए	एम	म_	__	
रे	ेड	डि	िय	यो	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
के	े_	__	__	__	
स्	्प	पी	ीक	कर	
औस	सत	त_	__	__	
दर	र्	्ज	जे	े_	
के	े_	__	__	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बा	ात	तच	ची	ीत	
की	ी_	__	__	__	
आव	वा	ाज	ज़	़_	
ठी	ीक	क_	__	__	
-J	JO	OI	IN	N_	
ठा	ाक	क_	__	__	
आत	ती	ी_	__	__	
है	ै_	__	__	__	
जब	बक	कि	ि_	__	
गा	ान	ने	े_	__	
सु	ुन	नन	ने	े_	
का	ा_	__	__	__	
अन	नु	ुभ	भव	व_	
भी	ी_	__	__	__	
औस	सत	त_	__	__	
दर	र्	्ज	जे	े_	
का	ा_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
एक	क_	__	__	__	
औस	सत	त_	__	__	
फो	ोन	न_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
खा	ास	सक	कर	र_	
दि	िख	खन	ने	े_	
मे	ें	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बड	ड़	़ी	ी_	__	
स्	्क	क्	्र	री	
की	ी_	__	__	__	
चा	ाह	ह_	__	__	
रख	खन	ने	े_	__	
वा	ाल	लो	ों	ं_	
को	ो_	__	__	__	
यह	ह_	__	__	__	
फो	ोन	न_	__	__	
पस	सं	ंद	द_	__	
आए	एग	गा	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

औस	सत	त_	__	__	
पर	रफ	फा	ार	र्	
की	ी_	__	__	__	
उम	म्	्म	मी	ीद	
कर	रन	ने	े_	__	
वा	ाल	ले	े_	__	
इस	से	े_	__	__	
खर	री	ीद	द_	__	
कर	र_	__	__	__	
नि	िर	रा	ाश	श_	
नह	ही	ीं	ं_	__	
हो	ों	ंग	गे	े_	
ले	ेक	कि	िन	न_	
इस	सस	से	े_	__	
ज्	्य	या	ाद	दा	
की	ी_	__	__	__	
इस	सस	से	े_	__	
उम	म्	्म	मी	ीद	
न_	__	__	__	__	
कर	रे	ें	ं_	__	
तो	ो_	__	__	__	
बे	ेह	हत	तर	र_	
हो	ोग	गा	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
दो	ो_	__	__	__	
जी	ीए	एस	सम	म_	
सि	िम	म_	__	__	
का	ार	र्	्ड	ड_	
लग	गा	ान	ने	े_	
की	ी_	__	__	__	
सु	ुव	वि	िध	धा	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एं	ंड	ड्	्र	रा	
4.	.1	1_	__	__	
,_	__	__	__	__	
जै	ैल	ली	ी_	__	
बी	ीन	न_	__	__	
आप	पर	रे	ेट	टि	
सि	िस	स्	्ट	टम	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
इस	स_	__	__	__	
फो	ोन	न_	__	__	
का	ा_	__	__	__	
प्	्र	रो	ोस	से	
1_	__	__	__	__	
गी	ीग	गा	ाह	हर	
क्	्ष	षम	मत	ता	
का	ा_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेक	कि	िन	न_	
रै	ैम	म_	__	__	
के	ेव	वल	ल_	__	
51	12	2ए	एम	मब	
की	ी_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	के	े_	__	
चल	लत	ते	े_	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
ने	ेव	वी	ीग	गे	
बह	हु	ुत	त_	__	
ते	ेज	जी	ी_	__	
से	े_	__	__	__	
नह	ही	ीं	ं_	__	
हो	ो_	__	__	__	
पा	ाए	एग	गा	ा_	
।_	__	__	__	__	
EO	OL	L_	__	__	
